Region,Lat,Long,dated,new_case,cured_case,death_case,Confirmed,Cured,Death
Analamanga,-18.9333296,47.5166646,2020-03-20,3,0,0,3,0,0
Analamanga,-18.9333296,47.5166646,2020-03-21,0,0,0,3,0,0
Analamanga,-18.9333296,47.5166646,2020-03-22,0,0,0,3,0,0
Analamanga,-18.9333296,47.5166646,2020-03-23,9,0,0,12,0,0
Analamanga,-18.9333296,47.5166646,2020-03-24,5,0,0,17,0,0
Analamanga,-18.9333296,47.5166646,2020-03-25,2,0,0,19,0,0
Analamanga,-18.9333296,47.5166646,2020-03-26,4,0,0,23,0,0
Analamanga,-18.9333296,47.5166646,2020-03-27,1,0,0,24,0,0
Analamanga,-18.9333296,47.5166646,2020-03-28,4,0,0,28,0,0
Analamanga,-18.9333296,47.5166646,2020-03-29,15,0,0,43,0,0
Analamanga,-18.9333296,47.5166646,2020-03-30,0,0,0,43,0,0
Analamanga,-18.9333296,47.5166646,2020-03-31,11,0,0,54,0,0
Analamanga,-18.9333296,47.5166646,2020-04-01,0,0,0,54,0,0
Analamanga,-18.9333296,47.5166646,2020-04-02,5,0,0,59,0,0
Analamanga,-18.9333296,47.5166646,2020-04-03,6,0,0,65,0,0
Atsinanana,-18.1499994,49.416665,2020-04-04,6,0,0,71,0,0
Atsinanana,-18.1499994,49.416665,2020-04-05,2,2,0,73,2,0
Analamanga,-18.9333296,47.5166646,2020-04-06,7,0,0,83,2,0
Atsimo_Andrefana,-23.35,43.66667,2020-04-06,2,0,0,83,2,0
Nosy-Be,-13.314276000000001,48.260618,2020-04-06,1,0,0,83,2,0
Analamanga,-18.9333296,47.5166646,2020-04-07,3,3,0,88,7,0
Atsinanana,-18.1499994,49.416665,2020-04-07,3,0,0,88,7,0
Analamanga,-18.9333296,47.5166646,2020-04-08,3,3,0,93,11,0
Analanjirofo,-17.166666,49.2999988,2020-04-08,1,0,0,93,11,0
Analamanga,-18.9333296,47.5166646,2020-04-09,0,0,0,93,11,0
Analamanga,-18.9333296,47.5166646,2020-04-10,3,0,0,102,11,0
Atsinanana,-18.1499994,49.416665,2020-04-10,6,0,0,102,11,0
Analamanga,-18.9333296,47.5166646,2020-04-11,0,1,0,102,12,0
Analamanga,-18.9333296,47.5166646,2020-04-12,2,5,0,106,20,0
Atsinanana,-18.1499994,49.416665,2020-04-12,2,3,0,106,20,0
Analamanga,-18.9333296,47.5166646,2020-04-13,0,1,0,106,21,0
Analamanga,-18.9333296,47.5166646,2020-04-14,2,2,0,108,23,0
Analamanga,-18.9333296,47.5166646,2020-04-15,2,6,0,110,29,0
Atsinanana,-18.1499994,49.416665,2020-04-16,1,4,0,111,33,0
Analamanga,-18.9333296,47.5166646,2020-04-17,3,0,0,117,33,0
Atsinanana,-18.1499994,49.416665,2020-04-17,3,0,0,117,33,0
Analamanga,-18.9333296,47.5166646,2020-04-18,2,2,0,120,35,0
Atsinanana,-18.1499994,49.416665,2020-04-18,1,0,0,120,35,0
Analamanga,-18.9333296,47.5166646,2020-04-19,1,4,0,121,39,0
Analamanga,-18.9333296,47.5166646,2020-04-20,0,2,0,121,41,0
,,,2020-04-21,0,3,0,121,44,0
,,,2020-04-22,0,8,0,121,52,0
,,,2020-04-23,0,6,0,121,58,0
Analamanga,-18.9333296,47.5166646,2020-04-24,1,3,0,122,61,0
Atsinanana,-18.1499994,49.416665,2020-04-25,1,1,0,123,62,0
Atsinanana,-18.1499994,49.416665,2020-04-26,1,9,0,124,71,0
Anôsy,-25.0333332,46.9833294,2020-04-27,1,0,0,128,75,0
Analamanga,-18.9333296,47.5166646,2020-04-27,3,4,0,128,75,0
,,,2020-04-28,0,7,0,128,82,0
,,,2020-04-29,0,8,0,128,90,0
,,,2020-04-30,0,2,0,128,92,0
Analamanga,-18.9333296,47.5166646,2020-05-01,4,2,0,132,94,0
Matsiatra-ambony,-21.45267,47.08569,2020-05-02,1,0,0,135,97,0
Atsinanana,-18.1499994,49.416665,2020-05-02,2,3,0,135,97,0
Atsinanana,-18.1499994,49.416665,2020-05-03,8,0,0,149,98,0
Analamanga,-18.9333296,47.5166646,2020-05-03,6,1,0,149,98,0
,,,2020-05-04,0,1,0,151,99,0
,,,2020-05-05,0,2,0,151,101,0
Atsinanana,-18.1499994,49.416665,2020-05-06,6,0,0,158,101,0
Analamanga,-18.9333296,47.5166646,2020-05-06,1,0,0,158,101,0
Atsinanana,-18.1499994,49.416665,2020-05-07,9,0,0,169,101,0
Analamanga,-18.9333296,47.5166646,2020-05-07,24,0,0,169,101,0
Vakinakaratra,-19.8666632,47.0333332,2020-05-07,1,0,0,169,101,0
Alaotra_Mangoro,-17.9,48.4,2020-05-07,1,0,0,169,101,0
Atsinanana,-18.1499994,49.416665,2020-05-09,5,0,0,169,101,0
Analamanga,-18.9333296,47.5166646,2020-05-09,4,0,0,169,101,0
Vakinakaratra,-19.8666632,47.0333332,2020-05-09,1,0,0,169,101,0
Alaotra_Mangoro,-17.9,48.4,2020-05-09,1,0,0,169,101,0
Atsinanana,-18.1499994,49.416665,2020-05-10,2,3,0,171,104,0
Analamanga,-18.9333296,47.5166646,2020-05-11,3,0,0,186,105,0
Matsiatra-ambony,-21.45267,47.08569,2020-05-11,1,0,0,186,105,0
Atsinanana,-18.1499994,49.416665,2020-05-11,11,1,0,186,105,0
Atsinanana,-18.1499994,49.416665,2020-05-12,6,0,0,192,105,0
Atsinanana,-18.1499994,49.416665,2020-05-13,15,0,0,212,107,0
Alaotra_Mangoro,-17.9,48.4,2020-05-13,3,0,0,212,107,0
Analamanga,-18.9333296,47.5166646,2020-05-13,2,2,0,212,107,0
Atsinanana,-18.1499994,49.416665,2020-05-14,5,1,0,230,108,0
Alaotra_Mangoro,-17.9,48.4,2020-05-14,11,1,0,230,108,0
Analamanga,-18.9333296,47.5166646,2020-05-14,2,1,0,230,108,0
Atsinanana,-18.1499994,49.416665,2020-05-15,8,4,0,238,112,0
Atsinanana,-18.1499994,49.416665,2020-05-16,19,0,0,283,114,0
Analamanga,-18.9333296,47.5166646,2020-05-16,26,2,0,283,114,0
Atsinanana,-18.1499994,49.416665,2020-05-17,6,0,1,304,114,1
Analamanga,-18.9333296,47.5166646,2020-05-17,15,0,0,304,114,1
Atsinanana,-18.1499994,49.416665,2020-05-18,17,5,0,322,119,1
Boeny,-15.71667,46.31667,2020-05-18,1,0,0,322,119,1
Analamanga,-18.9333296,47.5166646,2020-05-19,2,0,0,326,119,1
Atsinanana,-18.1499994,49.416665,2020-05-19,2,0,1,326,119,2
Atsinanana,-18.1499994,49.416665,2020-05-20,42,2,1,371,131,2
Analamanga,-18.9333296,47.5166646,2020-05-20,3,10,0,371,131,2
Atsinanana,-18.1499994,49.416665,2020-05-21,24,1,0,405,131,2
Alaotra_Mangoro,-17.9,48.4,2020-05-21,10,0,0,405,131,2
Atsinanana,-18.1499994,49.416665,2020-05-22,38,1,0,448,135,2
Analamanga,-18.9333296,47.5166646,2020-05-22,5,3,0,448,135,2
Atsinanana,-18.1499994,49.416665,2020-05-23,40,3,0,488,138,2
