Date,Cas_journalier,Guerrison_journalier,Mort_journalier,Cas_cumuler,Guerrison_cumuler,Mort_cumuler,day_count
2020-03-20,3,0,0,3,0,0.0,1
2020-03-21,0,0,0,3,0,0.0,2
2020-03-22,0,0,0,3,0,0.0,3
2020-03-23,9,0,0,12,0,0.0,4
2020-03-24,5,0,0,17,0,0.0,5
2020-03-25,2,0,0,19,0,0.0,6
2020-03-26,4,0,0,23,0,0.0,7
2020-03-27,1,0,0,24,0,0.0,8
2020-03-28,4,0,0,28,0,0.0,9
2020-03-29,15,0,0,43,0,0.0,10
2020-03-30,0,0,0,43,0,0.0,11
2020-03-31,11,0,0,54,0,0.0,12
2020-04-01,0,0,0,54,0,0.0,13
2020-04-02,5,0,0,59,0,0.0,14
2020-04-03,6,0,0,65,0,0.0,15
2020-04-04,6,0,0,71,0,0.0,16
2020-04-05,2,2,0,73,2,0.0,17
2020-04-06,10,0,0,83,2,0.0,18
2020-04-07,6,3,0,88,7,0.0,19
2020-04-08,4,3,0,93,11,0.0,20
2020-04-09,0,0,0,93,11,0.0,21
2020-04-10,9,0,0,102,11,0.0,22
2020-04-11,0,1,0,102,12,0.0,23
2020-04-12,4,8,0,106,20,0.0,24
2020-04-13,0,1,0,106,21,0.0,25
2020-04-14,2,2,0,108,23,0.0,26
2020-04-15,2,6,0,110,29,0.0,27
2020-04-16,1,4,0,111,33,0.0,28
2020-04-17,6,0,0,117,33,0.0,29
2020-04-18,3,2,0,120,35,0.0,30
2020-04-19,1,4,0,121,39,0.0,31
2020-04-20,0,2,0,121,41,0.0,32
2020-04-21,0,3,0,121,44,0.0,33
2020-04-22,0,8,0,121,52,0.0,34
2020-04-23,0,6,0,121,58,0.0,35
2020-04-24,1,3,0,122,61,0.0,36
2020-04-25,1,1,0,123,62,0.0,37
2020-04-26,1,9,0,124,71,0.0,38
2020-04-27,4,4,0,128,75,0.0,39
2020-04-28,0,7,0,128,82,0.0,40
2020-04-29,0,8,0,128,90,0.0,41
2020-04-30,0,2,0,128,92,0.0,42
